项目名称,除外内容,编码,计价单位,一级机构价格,id,说明,财务分类,项目内涵
种植牙冠修复置入（固定咬合重建）-即刻修复置入(加收),,331800005-1,件,主项目加收30%,6288,,E,指种植体植入后1周以内完成牙冠置入的加收。
种植可摘修复置入,,331800006,件,5440,6289,“件”为半口；不足半口按收费标准50%计价。,E,指种植体上部可摘修复体的置入。价格构成涵盖方案设计、印模制取、颌位确定、位置转移、试排牙、模型制作、戴入、调改、宣教等人力资源和基本物资消耗。
种植可摘修复置入-即刻修复置入(加收),,331800006-1,件,主项目加收30%,6290,,E,指种植体植入后1周以内完成可摘修复置入的加收。
口腔内植骨（简单）,,331800007,牙位,1110.4,6291,,G,指通过骨替代材料引导骨再生或填充牙槽嵴骨量，对轻度牙槽嵴萎缩骨量增加，达到可种植条件。价格构成涵盖方案设计、术前准备、手术入路，组织切开，植骨，关闭缝合受植区等手术步骤及术后复查处置等人力资源和基本物资消耗。
口腔内植骨（一般）,,331800008,牙位,1793.6,6292,,G,指简单植骨与复杂植骨以外各类形式的植骨技术，对中度牙槽嵴萎缩骨量增加，达到可种植条件。价格构成涵盖方案设计、术前准备、手术入路，组织切开，骨劈开/骨挤压，植骨，关闭缝合受植区等手术步骤及术后复查处置等人力资源和基本物资消耗。
口腔内植骨（复杂）,,331800009,牙位,2998.4,6293,,G,指上颌窦外提升植骨、牙槽嵴块状自体骨移植式，对重度牙槽嵴萎缩或上颌窦底骨量增加，达到可种植条件。价格构成涵盖方案设计、术前准备、手术入路，组织切开，自体骨移植、植骨，关闭缝合受植区等手术步骤及术后复查处置等人力资源和基本物资消耗。
口腔内植骨（复杂）-上颌窦囊肿摘除（加收）,,331800009-1,次,720,6294,,G,指上颌窦囊肿摘除的加收。
口腔内植骨（复杂）-口腔以外其他部位取骨（加收）,,331800009-2,次,1837.6,6295,,G,指口腔以外其他部位取骨进行的骨移植，以达到可种植条件的加收。含取骨术。
种植体周软组织移植,,331800010,牙位,950.4,6296,,G,指通过局部软组织移植，改善治疗部位及周围软组织状况，达到治疗所需软组织条件。价格构成涵盖方案设计、术前准备、切开、翻瓣、供软组织制备、组织固定、缝合及处置等手术步骤人力资源和基本物资消耗。
种植体取出,,331800011,牙位,633.6,6297,,G,指拆除患者口腔内已植入且无法继续使用的种植体。价格构成涵盖种植体拆除操作步骤的人力资源和基本基本物资消耗。
种植牙冠修理,,331800012,牙位,176,6298,,E,指对产品保质保修条件外，种植牙冠脱落、崩瓷、嵌食、断裂等机械性或器质性损坏进行修理，恢复正常使用。价格构成涵盖种植修复置入体的检查、拆卸、修补、置入等人力资源和基本物资消耗。
医学3D建模（口腔）,,331800013,例,259.2,6299,,E,指利用医学影像检查等手段获得患者特定部位的真实信息。通过数字技术构建的虚拟3D模型、真实再现口腔及颌面特定部位的形态，能够满足疾病诊断、手术规划、治疗及导板设计的需要。价格构成涵盖数字化扫描、建模、存储、传输，装置设计等步骤的人力资源和基本物资消耗。
医学3D模型打印（口腔）,,331800014,件,452.8,6300,单颗常规种植应用医学3D模型打印按5%计价。,E,指将虚拟3D模型打印或切削制作成仅用于口腔疾病诊断、手术规划、治疗及导板设计的实体模型。价格构成涵盖3D打印或切削制作的人力资源和基本物资消耗。
医学3D导板打印（口腔）,,331800015,件,688.8,6301,单颗常规种植应用医学3D导板打印按5%计价。,E,指将虚拟3D模型打印或切削制作成用于治疗部位、确保植（置）入物精准到达和处理预定位置的实物模板或手术操作对治疗部位进行精确处理。价格构成涵盖3D打印或切削制作的人力资源和基本物资消耗。
红外线治疗,,340100001,每个照射区,9.6,6302,每区照射20分钟。,E,指远、近红外线：TDP、近红外线气功治疗、红外线光浴治疗、远红外医疗舱治疗。
可见光照射治疗,,340100002,每个照射区,8.8,6303,,E,指应用可见光波段光辐射器对人体病变部位进行体表照射。
偏振光照射,,340100003,每个照射区,8.8,6304,,E,
紫外线治疗,,340100004,每个照射区,9.6,6305,,E,指长、中、短波紫外线、低压紫外线、高压紫外线、水冷式、导子紫外线、光化学疗法。
紫外线生物剂量测定,,340100004-1,每个照射区,9.6,6306,,D,
激光疗法,,340100005,每个照射区,24,6307,,E,含原光束、散焦激光疗法。
光敏疗法,,340100006,每个照射区,11.2,6308,,E,含紫外线、激光。
电诊断,,340100007,每块肌肉或每条神经,24,6309,,E,指直流电检查、感应电检查、直流-感应电检查、时值检查、强度-频率曲线检查、中频脉冲电检查。
直流电治疗,,340100008,每部位,12,6310,,E,指单纯直流电治疗、直流电药物离子导入治疗、直流电水浴治疗、（单、双、四槽浴）、电化学疗法。
低频脉冲电治疗,,340100009,每部位,15.2,6311,,E,指感应电治疗、神经肌肉电刺激治疗、间动电疗、经皮神经电刺激治疗、功能性电刺激治疗、温热电脉冲治疗、微机功能性电刺激治疗、银棘状刺激疗法（SSP）。
中频脉冲电治疗,,340100010,每部位,12.8,6312,,E,指中频脉冲电治疗、音频电治疗、干扰电治疗、动态干扰电治疗、立体动态干扰电治疗、调制中频电治疗、电脑中频电治疗。
共鸣火花治疗,,340100011,每5分钟,13.6,6313,,E,
超短波短波治疗,,340100012,每部位,9.6,6314,,E,指小功率超短波和短波、大功率超短波和短波、脉冲超短波和短波、体腔治疗。
微波治疗,,340100013,每部位,11.2,6315,,E,指分米波、厘米波、毫米波、微波组织凝固、体腔治疗。
射频电疗,,340100014,次,18.4,6316,,E,指大功率短波、分米波、厘米波。
静电治疗,,340100015,每20分钟,9.2,6317,,E,指低压、高压静电治疗、高电位治疗。
空气负离子治疗,,340100016,每30分钟,1.6,6318,,E,指使用空气负离子治疗仪治疗。
超声波治疗,,340100017,每5分钟,9.6,6319,,E,指使用超声波治疗仪治疗。
电子生物反馈疗法,,340100018,次,27.2,6320,,E,含肌电、皮温、皮电、脑电、心率各种生物反馈。
磁疗,,340100019,每20分钟,4,6321,,E,指脉冲式、交变等不同机型又分低频磁、高频磁及热点磁、强磁场刺激、热磁振。
水疗,,340100020,每20分钟,28,6322,,E,指药物浸浴、气泡浴、哈伯特槽浴（8字槽）、旋涡浴（分上肢、下肢）。
蜡疗,,340100021,每部位,9.2,6323,,E,指浸蜡、刷蜡、蜡敷。
泥疗,,340100022,每部位,4.4,6324,,E,指电泥疗、泥敷。
全身泥疗,,340100022-1,次,13.2,6325,,E,
牵引,,340100023,次,16,6326,,E,
颈椎牵引,,340100023-1,次,16,6327,,E,
腰椎牵引,,340100023-2,次,16,6328,,E,
悬吊治疗,,340100023-3,次,16,6329,,E,
脊柱矫正治疗,,340100023-4,次,16,6330,,E,
抗痉挛治疗,,340100023-5,次,16,6331,,E,
气压治疗,,340100024,单肢,16,6332,,E,指肢体气压治疗、肢体正负压治疗。
冷疗,,340100025,每部位,11.2,6333,,E,
电按摩,,340100026,每20分钟,8.8,6334,,E,指电动按摩、电热按摩、局部电按摩。
场效应治疗,,340100027,每部位,3.2,6335,,E,
骨骼肌肉疼痛冲击波治疗,,340100028S,次,156.8,6336,,E,
超激光疼痛治疗,,340100029S,次,34.4,6337,,E,
徒手平衡功能检查,,340200001,次,15.2,6338,,D,
仪器平衡功能评定,,340200002,次,45.6,6339,,D,
仪器平衡功能训练,,340200002-1,次,45.6,6340,,D,
等速肌力测定,,340200004,每关节,15.2,6341,,D,采用等速运动肌力测试系统进行测定。
手功能评定,,340200005,次,12,6342,,D,指徒手和仪器。
疲劳度测定,,340200006,次,44,6343,,D,
步态分析检查,,340200007,次,18.4,6344,,D,
足底压力分析检查,,340200007-1,次,18.4,6345,,D,
步态训练,,340200007-2,次,18.4,6346,,D,
言语能力评定,,340200008,次,33.6,6347,,D,含一般失语症检查、构音障碍检查、言语失用检查。
言语能力筛查,,340200008-1,次,43.2,6348,不能同时收取言语能力评定费用。,D,指使用失语症筛查表、构音障碍筛查表、儿童言语障碍筛查表、言语失用检查表等对患者进行言语测查。
失语症检查,,340200009,次,60.8,6349,,D,
口吃检查,,340200010,次,37.6,6350,,D,
吞咽功能障碍检查,,340200011,次,37.6,6351,,D,根据患者病情选择吞咽相关临床评估方法，如洼田饮水试验、反复唾液吞咽试验等对患者的吞咽动作、或饮水过程有无呛咳、或所需时间、或饮水状况等进行评估。
失认失用评定,,340200014,次,33.6,6352,,D,
职业能力评定,,340200015,次,37.6,6353,,D,
心功能康复评定,,340200017,次,37.6,6354,,D,
肺功能康复评定,,340200018,次,37.6,6355,,D,
肺功能康复训练,,340200018-1,次,37.6,6356,,D,
人体残伤测定,,340200019,次,36.8,6357,,D,
运动疗法,,340200020,45分钟/次,13.60 ,6358,,E,指全身肌力训练、各关节活动度训练、徒手体操、器械训练、步态平衡功能训练、呼吸训练。
水中肢体功能训练,,340200020-1,次,60,6359,,E,在水疗环境中，利用水中训练器具以及康复水疗专业性技术训练方法，指导患者在水中进行肢体功能训练，含水中关节活动度训练、肌力训练等。
水中步行运动训练,,340200020-2,次,60,6360,,E,在水疗环境中，利用水中训练器具以及康复水疗专业性技术训练方法，指导患者在水中进行步行运动训练，含平衡协调性训练、步态训练、呼吸控制训练、有氧运动训练等。不含水中肢体功能训练。
减重支持系统训练,,340200021,40分钟/次,24,6361,,E,利用减重支持技术进行训练。
轮椅技能训练,,340200022,次,12,6362,每日收费不超过1次，每次不低于20分钟。,E,指导患者乘坐轮椅正确的坐姿以及驱动轮椅的正确技术动作。
电动起立床训练,,340200023,45分钟/次,20,6363,,E,
平衡训练,,340200024,次,8,6364,,E,康复专业人员根据患者当前平衡状态，通过姿势变换的方式锻炼患者的平衡能力，同时保护受试者安全。
手功能训练,支具,340200025,次,8,6365,,E,
徒手手功能训练,,340200025-1,次,41.6,6366,不能同时收取手功能训练费用。,E,利用徒手的方法进行的各种手部功能训练或者进行手工艺制作和训练，必要时进行手法治疗或指导。
关节松动训练,,340200026,每20分钟,14.4,6367,,E,
关节被动活动训练,,340200026-1,每20分钟,14.4,6368,,E,
持续被动运动训练(CPM),,340200026-2,每20分钟,14.4,6369,,E,
小关节(指关节)松动训练,,340200026-3,每20分钟,14.4,6370,,E,
大关节松动训练,,340200026-4,每20分钟,25.60 ,6371,,E,
有氧训练,,340200027,次,15.2,6372,,E,含医疗体操训练。
耐力训练,,340200027-1,次,39.2,6373,,E,对于疾病或损伤导致的全身运动耐力下降患者进行全身性的肌肉耐久性训练。
文体训练,,340200028,45分钟/次,2.8,6374,,E,
引导式教育训练,,340200029,次,23.2,6375,,E,指对智力、行为有障碍的患者进行注意力、操作能力、模仿能力康复训练。
等速肌力训练,,340200030,次,15.2,6376,,E,
作业疗法,自助具,340200031,45分钟/次,17.60 ,6377,限器质性病变导致的生活、工作能力障碍患者。,E,含日常生活动作训练。
日常生活动作训练,,340200031-1,次,37.6,6378,限日常生活活动能力（ADL）障碍的患者。每日收费不超过2次，每次不低于20分钟。,E,对衣、食、住、行、个人卫生等日常生活的基本动作进行训练。
精神障碍作业疗法训练,,340200031-2,次,58.4,6379,限精神障碍康复期患者。在精神卫生机构或康复医疗机构，由具有资格的精神卫生人员或在其指导下的社工操作，每日收费不超过1次。,E,应用专业理论和不同的治疗模式对精神障碍的患者进行治疗，患者可以有机会自己选择并积极参与一些有意义符合个人能力和程度以及环境需求的活动。
职业功能训练,,340200032,45分钟/次,22.4,6380,,E,
口吃训练,,340200033,每30分钟,37.6,6381,,E,
言语训练,,340200034,每30分钟,43.20 ,6382,,E,
儿童听力障碍语言训练,,340200035,每30分钟,37.6,6383,,E,
构音障碍训练,,340200036,次,30.4,6384,,E,
吞咽功能障碍训练,,340200037,次,18.40 ,6385,,E,
认知知觉功能障碍训练,,340200038,次,35.20 ,6386,,E,
康复评定,,340200039,次,30.4,6387,康复医学科执业医师或具备康复治疗师资质的人员方可开展。,D,含咨询。
康复综合评定,,340200039-1,次,91.2,6388,一个住院周期收费不超过3次；不能同时收取康复评定的费用。,E,以康复评价会的形式进行。根据患者具体情况，至少3名康复专业人员参与评价会。评价会对患者身体功能，家庭状况，社会环境等材料进行收集，对患者身体功能及残存能力进行量化，制定近期、远期目标和训练计划的目的，调整训练计划，在患者出院前，判定康复治疗的效果，继续恢复的可能性，是否达到预期的康复目标及为患者出院后如何进行自我训练提供依据，为回归家庭、社会提供必要的帮助。
偏瘫肢体综合训练,,340200040,40分钟/次,28,6389,,E,对患者进行身体关节活动度训练，调整异常肌张力训练，诱发患者主动活动能力训练，协调性功能训练，平衡功能训练，日常生活动作能力综合训练。
脑瘫肢体综合训练,,340200041,40分钟/次,57.60 ,6390,,E,含关节活动度训练、调整异常肌张力训练、诱发患者主动活动能力训练、协调性功能训练、平衡功能训练、日常生活动作能力综合训练及运动发育的诱发和感觉统合训练。
运动发育迟缓训练,,340200041-1,40分钟/次,45.6,6391,,E,
截瘫肢体综合训练,,340200042,40分钟/次,56.00 ,6392,,E,对患者躯干及双侧下肢进行关节活动度训练，调整异常肌张力训练，提高患者残存肌力训练，转移动作训练，平衡功能训练，步行能力训练，日常生活动作能力综合训练。
截肢肢体综合训练,,340200042-1,次,47.2,6393,每日不超过2次，每次不低于20分钟。,E,通过徒手及辅助器具协助的方式，对患者假肢安装前后进行身体关节活动度训练、肌力训练等功能训练，不含假肢的制作。
膀胱功能训练,,340200045S,次,17.6,6394,适用于膀胱功能障碍的患者。,E,向患者介绍膀胱功能训练方法和目的等相关知识，选择适宜的膀胱训练方法，按既定程序讲解并示范操作动作，指导患者和家属学习训练方法，进行患者观察(如：有无放射性排尿，有无植物神经反射亢进，有无血压升高，膀胱压力升高，记录训练效果)。不含导尿。
骨折外固定架固定术,外固定材料,420000006,次,439.2,6395,,E,含整复固定。
外固定架使用,,420000010,次,暂不定价,6396,,E,
外固定调整术,,420000012,次,176,6397,,E,指骨折外固定架、外固定夹板调整。
外固定架拆除术,,420000014,次,48,6398,,E,含器械使用。
直肠脱出复位治疗,,460000001,次,36,6399,,E,
三度直肠脱垂复位治疗,,460000001-1,次,54,6400,,E,
直肠周围硬化剂注射治疗,药物,460000002,次,78.4,6401,,E,
内痔硬化剂注射治疗(枯痔治疗),药物,460000003,每个痔核,56,6402,,E,
复杂肛瘘挂线治疗,,460000004,次,304,6403,,E,指对复杂肛瘘的肛管直肠环挂线收紧、结扎。
血栓性外痔切除术,,460000005,次,288,6404,,G,
环状混合痔切除术,,460000006,次,418,6405,,E,
混合痔脱出嵌顿切除术,,460000006-1,次,418,6406,,E,
混合痔外剥内扎术,,460000007,次,304,6407,,E,
肛周脓肿一次性根治术,,460000008,次,673.60 ,6408,,G,
肛外括约肌折叠术,,460000009,次,暂不定价,6409,,E,
直肠前突修补术,,460000010,次,516.8,6410,,E,
肛瘘封堵术,,460000011,次,暂不定价,6411,,E,
结肠水疗,药物、一次性结肠透析管,460000012,次,56,6412,,E,含结肠灌洗治疗和肠腔内给药。
肛周药物注射封闭术,药物,460000013,次,14.4,6413,,E,指肛周皮下封闭、穴位封闭。
手术扩肛治疗,,460000014,次,440,6414,,G,指通过手术扩肛。
人工扩肛治疗,,460000015,次,24,6415,,E,
器械扩肛治疗,,460000015-1,次,24,6416,,E,
化脓性肛周大汗腺炎切开清创引流术,,460000016,次,368,6417,,E,含合并肛门直肠周围脓肿清创引流。
复杂化脓性肛周大汗腺炎切开清创引流术,,460000016-1,次,478.4,6418,,E,"指以肛门为中心,炎症波及半径超过3cm以上。含合并肛门直肠周围脓肿清创引流。"
肛周坏死性筋膜炎清创术,,460000017,次,368,6419,,E,含合并肛门直肠周围脓肿清创。
复杂肛周坏死性筋膜炎清创术,,460000017-1,次,478.4,6420,,E,指病变范围超过肛周四分之一象限。含合并肛门直肠周围脓肿清创。
肛门直肠周围脓腔搔刮术,,460000018,次,256,6421,,E,含双侧及1个以上脓腔、窦道。
肛门直肠周围脓腔搔刮术加收(每增加1个病灶),,460000018-1,每个病灶,25.6,6422,,E,
中医肛肠术后紧线术,,460000019,次,88,6423,,E,含取下挂线。
中医肛肠术后单取挂线,,460000019-1,次,48,6424,,E,
混合痔铜离子电化学治疗术,铜离子针,460000020,次,72,6425,,E,
内痔铜离子电化学治疗术,铜离子针,460000020-1,次,72,6426,,E,
直肠前突出注射术,药物,460000021,次,72,6427,,E,指直肠前壁黏膜下层柱状注射。
直肠脱垂注射术,药物,460000022,次,38.4,6428,,E,含直肠内注射及直肠外注射。
眼结膜囊穴位注射,,470000004,单眼,26.4,6429,,E,含穴位针刺。
医疗气功治疗,,470000014,次,8,6430,,E,
经络穴位平衡治疗,,470000017S,次,60.8,6431,,E,指运用经络导平设备，导通受阻的经络，解除气血瘀滞，平衡机体功能。每次治疗60分钟。含导电极及配套固定皮带。
辨证施膳指导,,480000001,次,8.8,6432,,E,
脉图诊断,,480000002,次,45.6,6433,,E,指通过使用脉图诊断设备，同步获取中医师指下的运力和患者脉力回馈信息，动态反馈式模拟指感施力技术，准确获取脉搏属性。
中药特殊调配,,480000003,,,6434,,E,
煎膏调配,,480000003-1,剂,35.20 ,6435,,E,
合剂调配,,480000003-2,百克,12,6436,,E,
胶囊剂调配,,480000003-3,百克,20.8,6437,,E,
蜜丸调配,,480000003-4,百克,20,6438,,E,
水蜜丸调配,,480000003-5,百克,28.00 ,6439,,E,
水丸调配,,480000003-6,百克,22,6440,,E,
散剂调配,,480000003-7,百克,22,6441,,E,
人工煎药,,480000004,剂,1.5,6442,,I,
煎药机煎药,,480000005,剂,2.5,6443,,I,
中医辨证论治,,480000006,次,,6444,,C,含诊查费。
中医辨证论治-普通中医师,,480000006-1,次,16,6445,,C,含诊查费。
中医辨证论治-副主任中医师,,480000006-2,次,23.2,6446,,C,含诊查费。
中医辨证论治-主任中医师,,480000006-3,次,28,6447,,C,含诊查费。
中医体质辨识,,480000007S,次,44.00 ,6448,,C,指通过问诊与分析，诊断就诊者体质、状态和易患疾病。
中医健康调养咨询,,480000008S,次,60.8,6449,,E,指提供个性化疾病预防和调治方案（含平衡膳食或药膳）、情志治疗、自我穴位按摩保健、经络拍打保健、运动保健、调整生活方式等），必要时给予药物、非药物传统疗法等健康干预，以达到疾病早期预防的目的。
膏方诊查,,480000009S,次,80,6450,,E,指在详细了解就诊者的病史、体质状态后，开出就诊者专用的煎膏、膏滋个性化处方，注明制膏方法，并对膏方做出详细说明。不含膏方调配费。
电子扫描整合系统功能检测,,480000010S,次,172,6451,,D,指通过低电压直流电信号，激活人体各脏器的间质细胞的电生理活性，以数字化形式采集人体功能的信息，对整个机体的各组织、各器官及经络系统进行全面的功能评估。含一次性检测电极、分析及彩色图文报告。
超倍生物显微系统检测,,480000011S,次,92,6452,,H,指通过超倍生物显微系统得到细胞组织或病原微生物相关的信息。含采血、分析及彩色图文报告。
中医经络检测,,480000012S,次,42.40 ,6453,,C,"指通过对人体经穴能量的数据信息进行综合分析,评估就诊者健康状况，对存在的疾病做出初步诊断或提出进一步防治建议。"
虹膜全息检测,,480000013S,次,37.6,6454,,D,指透过眼睛虹膜的形态变化来评估人体健康状况及监测康复过程。
红外热段层扫描(TTM),,480000014S,部位或系统,204,6455,,D,指利用红外线热辐射接受扫描设备测出热辐射的深度和数值，并根据热源的异常来生成图像，反映人体的疾病状况。含分析及彩色图文报告。
身体成分分析,,480000015S,次,35.20 ,6456,,I,指采用生物电阻抗技术，检测身体各种组成元素，对身体进行节段分析，正确评估身体状况。检测项目必需有测试体重、体脂百分比、脂肪重量、肌肉重量、瘦体重、基础代谢率、总能量消耗、细胞重量、细胞内外液、身体质量指数、身体水份重量、蛋白质重量、矿物质重量、内脏脂肪水平、内脏脂肪面积、内脏脂肪重量、皮下脂肪重量、身体年龄、腰臀比、体型评估、内脏脂肪发展预测、浮肿指数、节段肌肉分析、调节目标、研究项目、体成分分析与历史结果对比。
临床量表评估（自评）,所定价格涵盖完成自评所需的人力资源和基本物质资源消耗。,011102010010000,次·日,16,6457,不同学科且不重复的临床量表评估可分别计价。,C,基于患者自主完成的临床量表，对患者生理或心理的功能状态形成评估结论。
临床量表评估(自评)-乙类评估（加收）,,011102010010001,次·日,8,6458,不同学科且不重复的临床量表评估可分别计价。,C,"评估条目总数在（20,40] 之间的自评加收项。"
临床量表评估（自评）-丙类评估（加收）,,011102010010002,次·日,16,6459,不同学科且不重复的临床量表评估可分别计价。,C,"评估条目总数在（40,100] 之间的自评加收项。"
临床量表评估（自评）-丁类评估（加收）,,011102010010003,次·日,24,6460,不同学科且不重复的临床量表评估可分别计价。,C,评估条目总数100条以上的自评加收项。
临床量表评估（自评）-应用人工智能辅助的自评（扩展项）,,011102010010100,次·日,16,6461,不同学科且不重复的临床量表评估可分别计价。,C,
临床量表评估（他评）,所定价格涵盖完成他评所需的人力资源和基本物质资源消耗。,011102010020000,次·日,24,6462,不同学科且不重复的临床量表评估可分别计价。,C,基于专业评估人员协助患者完成的临床量表，对患者生理或心理的功能状态形成评估结论。
临床量表评估（他评）-乙类评估（加收）,,011102010020001,次·日,12,6463,不同学科且不重复的临床量表评估可分别计价。,C,"评估条目总数在（20,40] 之间的他评加收项。"
临床量表评估（他评）-丙类评估（加收）,,011102010020002,次·日,24,6464,不同学科且不重复的临床量表评估可分别计价。,C,"评估条目总数在 (40,100] 之间的他评加收项。"
临床量表评估（他评）-丁类评估（加收）,,011102010020003,次·日,36,6465,不同学科且不重复的临床量表评估可分别计价。,C,评估条目总数大于100条的他评加收项。
临床量表评估（他评）-应用人工智能辅助的他评（扩展项）,,011102010020100,次·日,24,6466,不同学科且不重复的临床量表评估可分别计价。,C,
临床量表评估（他评）-儿童评估（扩展项）,,011102010020200,次·日,24,6467,不同学科且不重复的临床量表评估可分别计价。,C,
特级护理,所定价格涵盖观察病情及生命体征、制定护理措施、根据医嘱正确实施治疗用药、评估、评定、记出入量、书写护理记录、辅助实施生活护理、口腔护理、皮肤清洁、会阴护理、肛周护理、叩背护理、眼部护理、心理护理、给予患者舒适和功能体位、预防并发症、实施床旁交接班、健康指导等所需的人力资源和基本物质资源消耗。不含其他专项护理。,011301000010000,日,144 ,6468,,F,指为病情危重，随时可能发生病情变化需要进行监护、抢救的患者；各种复杂或大手术后、严重创伤或大面积烧伤的患者提供的相关护理。
特级护理-儿童加收,,011301000010001,日,30%,6469,,F,
Ⅰ级护理,所定价格涵盖观察病情及生命体征、制定护理措施、根据医嘱正确实施治疗用药、评估、评定、记出入量、书写护理记录、辅助实施生活护理、口腔护理、皮肤清洁、会阴护理、肛周护理、叩背护理、眼部护理、心理护理、给予患者舒适和功能体位、预防并发症、实施床旁交接班、健康指导等所需的人力资源和基本物质资源消耗。不含其他专项护理。,011301000020000,日,54.4 ,6470,,F,指为病情趋向稳定的重症患者；病情不稳定或随时可能发生变化的患者；手术后或者治疗期间需要严格卧床的患者；自理能力重度依赖的患者提供的相关护理。
Ⅰ级护理-儿童加收,,011301000020001,日,30%,6471,,F,
Ⅱ级护理,所定价格涵盖观察病情及生命体征、根据医嘱正确实施治疗用药、评估、评定、辅助实施生活护理、书写护理记录，皮肤清洁、心理护理、健康指导等所需的人力资源和基本物质资源消耗。不含专项护理。,011301000030000,日,28.8 ,6472,,F,指病情趋于稳定或未明确诊断前，仍需观察，且自理能力轻度依赖的患者；病情稳定，仍需卧床，且自理能力轻度依赖的患者；病情稳定或处于康复期，且自理能力中度依赖的患者提供的相关护理。
Ⅲ级护理,所定价格涵盖观察病情及生命体征、根据医嘱正确实施治疗用药、评估、评定、书写护理记录、心理护理、健康指导等所需的人力资源和基本物质资源消耗。不含专项护理。,011301000040000,日,16 ,6473,,F,指病情稳定或处于康复期，且自理能力轻度依赖或无依赖的患者提供的相关护理。
急诊留观护理,所定价格涵盖观察病情及生命体征、制定护理措施、根据医嘱正确实施治疗用药、评估、评定、书写护理记录、辅助实施生活护理、口腔护理、皮肤清洁、会阴护理、肛周护理、叩背护理、眼部护理、心理护理、预防并发症、实施床旁交接班、健康指导等所需的人力资源和基本物质资源消耗。不含其他专项护理。,011302000010000,日,20.8 ,6474,当天转住院的，急诊留观与分级护理费用不得同时收取。,F,指为需留在急诊进行观察的患者提供的相关护理。
重症监护护理,所定价格涵盖密切观察病情及生命体征、根据医嘱正确实施治疗用药、评估患者状态、评定相关指标、记出入量、随时配合抢救、及时书写护理记录、喂食、翻身、洗漱、并发症预防等全方位实施生活护理、口腔护理、皮肤护理、会阴护理、肛周护理、心理护理、健康指导等所需的人力资源和基本物质资源消耗。不含其他专项护理。,011302000020000,小时,11.2 ,6475,"1.指在重症监护病房内实施的护理操作，不可与分级护理同时收费，可以与严密隔离护理/保护性隔离护理同时收费，不包含监测项目费用。
2.转科当日，可分别收取“分级护理”和“重症监护护理”费用。转入重症监护病房后按“小时”收取重症监护护理费用；转入普通病房后，当日可按“日”收取分级护理费用。",F,指在重症监护病房内，护理人员为重症监护患者提供的相关护理。
重症监护护理-儿童加收,,011302000020001,小时,30%,6476,,F,
精神病人护理,所定价格涵盖密切巡视患者、观察患者情绪变化、并对患者提供适宜的照顾、采取预防意外事件发生的措施、做好健康教育指导等所需的人力资源和基本物质资源消耗。,011302000030000,日,12.8 ,6477,,F,指对精神病患者提供的护理。
严密隔离护理,所定价格涵盖穿戴个人防护用品、标识、患者排出物消毒处理、生活垃圾及医疗垃圾处理、消毒及细菌采样等所需的人力资源和基本物质资源消耗。,011302000040000,日,24 ,6478,严密隔离护理条件参照《全国医疗服务项目技术规范（2023年版）》。,F,指对甲类、乙类传染病患者在严密隔离条件下提供的护理。
严密隔离护理-儿童加收,,011302000040001,日,30%,6479,,F,
保护性隔离护理,所定价格涵盖观察病情及生命体征、评估、评定、防护用品、消毒清洁及细菌采样等所需的人力资源和基本物质资源消耗。,011302000050000,日,24 ,6480,保护性隔离条件参照《全国医疗服务项目技术规范（2023年版）》。,F,指对抵抗力低、极易感染患者在保护性隔离条件下的护理。
保护性隔离护理-儿童加收,,011302000050001,日,30%,6481,,F,
新生儿护理,所定价格涵盖喂养、更换尿布、臀部护理、脐部残端护理、称体重、观察皮肤、洗浴、抚触、更换衣物被服、肛管排气、口腔护理、皮肤护理、会阴护理、肛周护理等所需的人力资源和基本物质资源消耗。不含其他专项护理。,011302000060000,日,51.2 ,6482,不与分级护理同时收取。,F,指对从胎儿娩出、脐带结扎后至28天的婴儿进行的相关护理。
早产儿护理,所定价格涵盖评估病情、核对医嘱、胎龄，监护呼吸、体温、心率变化及各器官功能的成熟情况、体位管理、喂养、更换尿布、臀部护理、脐部残端护理、肛管排气、口腔护理、皮肤护理、会阴护理、肛周护理等所需的人力资源和基本物质资源消耗。不含其他专项护理。,011302000070000,日,64.8 ,6483,不与分级护理、重症监护护理同时收取。,F,指对出生时胎龄小于37周，纠正胎龄至44周的早产儿进行的相关护理。
口腔护理,所定价格涵盖评估病情、核对信息、检查口腔、按口腔护理操作流程清洁口腔、观察生命体征、给予健康宣教及心理护理等所需的人力资源和基本物质资源消耗。,011303000010000,次,4.8 ,6484,已包含在特级护理、Ⅰ级护理及重症监护护理价格构成中，不得重复收取此项收费；在为患者提供Ⅱ级护理、Ⅲ级护理，且同时提供口腔护理的，可按“次”据实收费。,F,指为高热、鼻饲、不能经口进食、人工气道等患者进行的口腔清洁护理。
会阴护理,所定价格涵盖评估病情、核对信息、排空膀胱、擦洗或冲洗会阴、尿管，处理用物，给予做好健康教育及心理护理等所需的人力资源和基本物质资源消耗。,011303000020000,次,6.4 ,6485,已包含在特级护理、Ⅰ级护理及重症监护护理价格构成中，不得重复收取此项收费；在为患者提供Ⅱ级护理、Ⅲ级护理，且同时提供会阴护理的，可按“次”据实收费。,F,指为泌尿生殖系统感染、大小便失禁、会阴部皮肤破损、留置导尿、产后及各种会阴部术后的患者进行的会阴清洁护理。
