结算项目名称,剂型名称,规格,首先自负比例,医疗项目编码,目录等级,药品名称,生产厂家
西药,片剂,0.1g（以左氧氟沙星计）,0.0%、0.0%、0.0%,8.69023E+13,甲类,盐酸左氧氟沙星片,四川科伦药业股份有限公司（国药准字H20054198）
西药,注射剂,0.6g,0.0%、0.0%,8.69047E+13,甲类,注射用克林霉素磷酸酯,江苏九旭药业有限公司
西药,注射剂,5%，2.5g,15.0%、20.0%、0.0%,8.69053E+13,乙类,静注人免疫球蛋白（pH4）,博雅生物制药集团股份有限公司（国药准字S19993012）
西药,片剂,75mg,0.0%、0.0%、0.0%,86900100000040-1,甲类,双氯芬酸钠缓释片,北京诺华制药有限公司（国药准字H10980297）
西药,注射剂,1ml:4μg,0.0%、0.0%、0.0%,8.69058E+13,甲类,醋酸去氨加压素注射液,海南中和药业股份有限公司（国药准字H20065069）
中成药,颗粒剂,每袋装4g,0.0%、0.0%、0.0%,86902210001177-1,甲类,银黄颗粒,四川升和药业股份有限公司
中成药,注射剂,每支装2ml（含萜类内酯10mg）,20.0%、30.0%、0.0%,8.69067E+13,乙类,银杏内酯注射液,成都百裕制药股份有限公司（国药准字Z20110035）
西药,注射液,500ml氯化钠3.0g，醋酸钠1.90g，氯化钾0.15g，氯化钙0.1g,100.0%、100.0%、100.0%,8.69049E+13,丙类,醋酸钠林格注射液,湖南康源制药有限公司（国药准字H20100138）
中成药,胶囊剂,每粒装0.25g,0.0%、0.0%、0.0%,8.69052E+13,甲类,三七伤药胶囊,广西玉林制药集团有限责任公司（国药准字Z19980087）
中成药,颗粒剂,每袋装5克,0.0%、0.0%、0.0%,8.69031E+13,甲类,小儿泻速停颗粒,河南省百泉制药有限公司
西药,胶丸,0.1g,5.0%、10.0%、0.0%,86904747001859-2,乙类,维生素E丸,浙江医药股份有限公司新昌制药厂
中成药,胶囊剂,每粒装0.4g,5.0%、10.0%、0.0%,86903729000163-1,乙类,五加生化胶囊,多多药业有限公司（国药准字Z10950043）
西药,普通片剂,按C13H21NO3计算:2mg,0.0%、0.0%、0.0%,8.69015E+13,甲类,沙丁胺醇片,苏州弘森药业股份有限公司
西药,注射剂,250ml：葡萄糖9.375g与氯化钠0.5625g,5.0%、10.0%、0.0%,8.69022E+13,乙类,小儿电解质补给注射液,四川科伦药业股份有限公司（国药准字H20061195）
西药,胶囊剂,0.1g（按C18H20FN3O4计）,0.0%、0.0%、0.0%,8.69021E+13,甲类,盐酸左氧氟沙星胶囊,四川大冢制药有限公司（国药准字H20058080）
中成药,水丸,每丸重1g,5.0%、10.0%、0.0%,8.69057E+13,乙类,二十五味珍珠丸,西藏藏医学院藏药有限公司（国药准字Z54020091）
西药,注射液,2ml：50mg,100.0%、100.0%,8.69014E+13,丙类,盐酸艾司氯胺酮注射液,江苏恒瑞医药股份有限公司
西药,片剂,7.5mg,5.0%、10.0%,8.69022E+13,乙类,美洛昔康,四川升和制药
西药,片剂,0.425g(以阿帕替尼计),20.0%、30.0%,XL01XEA288A001030101445,乙类,甲磺酸阿帕替尼片,江苏恒瑞医药股份有限公司
西药,注射剂,2ml:5mg（多糖）:1mg（多肽）,5.0%、10.0%、0.0%,8.69017E+13,乙类,薄芝糖肽注射液,扬州制药有限公司（国药准字H32026653）
西药,栓剂,50mg（以硝酸益康唑计）,5.0%、10.0%、0.0%,8.69017E+13,乙类,复方莪术油栓,江苏远恒
西药,注射剂,1ml:10mg,0.0%、0.0%、0.0%,8.69032E+13,甲类,维生素K1注射液,上海现代哈森(商丘)药业有限公司（国药准字H20044180）
西药,栓剂,100mg,0.0%、0.0%、0.0%,8.69002E+13,甲类,吲哚美辛栓,北京双吉制药有限公司（国药准字H11021391）
西药,片剂,50mg,5.0%、10.0%、0.0%,86904647000358-2,乙类,氯沙坦钾片,浙江华海药业股份有限公司
西药,注射剂,20mg,0.0%、0.0%、0.0%,8.69058E+13,甲类,注射用法莫替丁,海南倍特药业有限公司
医院制剂,,,5.0%、5.0%,31300114,,胃炎保康丸,
中成药,水蜜丸,每100丸重20g,5.0%、10.0%、0.0%,8.69002E+13,乙类,疏风定痛丸,北京同仁堂科技发展股份有限公司制药厂
中成药,颗粒剂,每袋装2.5g,5.0%、10.0%、0.0%,8.69018E+13,乙类,小儿麻甘颗粒,湖北虎泉药业有限公司（国药准字Z10983059）
西药,胶囊剂,0.25g,5.0%、10.0%、0.0%,8.69018E+13,乙类,更昔洛韦胶囊,湖北科益药业股份有限公司（国药准字H20030817）
中成药,糖浆剂,每1ml相当于饮片1.49g每瓶装100ml(每1ml相当于饮片1.49g),100.0%、100.0%、100.0%,8.69015E+13,丙类,清金糖浆,江苏颐海药业有限责任公司（国药准字Z10960086）
西药,片剂,20mg,100.0%、100.0%,8.69015E+13,丙类,他达拉非片,江苏天士力帝益药业有限公司
中成药,丸剂,6g/袋,0.0%、0.0%,8.69028E+13,甲类,附子理中丸,药都制药集团有限公司
西药,片剂,0.5g,0.0%、0.0%、0.0%,8.69042E+13,甲类,对乙酰氨基酚片,烟台鲁银药业有限公司（国药准字H37020234）
西药,片剂,每片12.5毫克,0.0%、0.0%、0.0%,8.69035E+13,甲类,盐酸异丙嗪片,辽源市迪康药业有限责任公司（国药准字H22021309）
西药,片剂,50mg,0.0%、0.0%、0.0%,86901667000122-1,甲类,酒石酸美托洛尔片,苏州爱美津制药有限公司
西药,注射剂,100ml:0.2g（以环丙沙星计）,5.0%、10.0%、0.0%,8.69049E+13,乙类,乳酸环丙沙星氯化钠注射液,湖南科伦制药有限公司（国药准字H43020450）
中草药,,,0.0%、0.0%,31200845,甲类,蜣螂,
西药,注射剂,1ml:1mg,100.0%、100.0%,8.69058E+13,丙类,胸腺五肽注射液,海南中和药业股份有限公司（国药准字H20052528）
西药,片剂,125mg,0.0%、0.0%、0.0%,8.69793E+13,甲类,阿奇霉素片,Pliva Croatia Ltd.（H20160246）
西药,片剂,5mg,0.0%、0.0%、0.0%,8.69031E+13,甲类,甲氧氯普胺片,开封制药(集团)有限公司（国药准字H41021142）
西药,注射液,1ml:20mg,5.0%、10.0%,86979564000019-1,乙类,枸橼酸咖啡因注射液,Alfa Wassermann SpA
西药,胶囊剂,0.25g,5.0%、10.0%、0.0%,8.69025E+13,乙类,奥硝唑胶囊,西安万隆制药股份有限公司（国药准字H20031257）
中草药,,,0.0%、0.0%,31200829,甲类,蓍草,
西药,胶囊剂,5mg,0.0%、5.0%、10.0%,8.69042E+13,乙类,格列吡嗪胶囊,山东淄博新达制药有限公司（国药准字H20023565）
中草药,,,0.0%、0.0%,31200528,甲类,炒白芍,
西药,注射剂,0.45g,0.0%、5.0%、10.0%,8.6901E+13,乙类,注射用利福平,重庆华邦制药有限公司（国药准字H20041320）
西药,注射剂,4ml:8mg,100.0%、100.0%、100.0%,8.69037E+13,丙类,鹿瓜多肽注射液,哈尔滨誉衡制药有限公司（国药准字H23020002）
中成药,丸剂,每10丸重1g,100.0%、100.0%、100.0%,8.6906E+13,丙类,疗癣卡西甫丸,新疆维阿堂制药有限公司（国药准字Z20080071）
西药,注射剂,1.5ml:0.075mg,10.0%、20.0%、0.0%,8.69045E+13,乙类,盐酸帕洛诺司琼注射液,杭州九源基因工程有限公司（国药准字H20140146）
西药,注射剂,40mg,5.0%、10.0%、0.0%,8.69014E+13,乙类,注射用帕瑞昔布钠,江苏恒瑞医药股份有限公司
西药,注射剂,2ml:100mg（以铁计）,0.0%、0.0%、0.0%,8.69793E+13,甲类,右旋糖酐铁注射液,Solupharm Pharmazeutische Erzeugnisse GmbH（H20170107）
中成药,煎膏,----,0.0%、0.0%、0.0%,8.69054E+13,甲类,益母草膏,贵州百灵企业集团制药股份有限公司（国药准字Z52020453）
中成药,软膏剂,每支装10g,5.0%、10.0%、0.0%,8.6907E+13,乙类,蛇脂参黄软膏,广东太安堂药业股份有限公司（国药准字Z20153056）
西药,片剂,0.1mg,0.0%、0.0%、0.0%,8.69784E+13,甲类,醋酸去氨加压素片,Ferring International Center SA（H20140285）
西药,片剂,0.25g,100.0%、100.0%、100.0%,8.69036E+13,丙类,甘羟铝片,通化吉通药业有限公司（国药准字H22020695）
西药,片剂,25mg,0.0%、0.0%、0.0%,8.69031E+13,甲类,盐酸异丙嗪片,百正药业股份有限公司（国药准字H41023110）
西药,片剂,20mg,0.0%、0.0%、0.0%,8.6904E+13,甲类,单硝酸异山梨酯片,齐鲁制药有限公司（国药准字H20065685）
西药,注射液,25mg:5ml,5.0%、10.0%,86978687000142-1,乙类,盐酸乌拉地尔注射液,武田制药
中草药,,,0.0%、0.0%,31200379,甲类,关白附,
中草药,,,0.0%、0.0%,31200256,甲类,乌梅炭,
西药,片剂,10mg,5.0%、10.0%、0.0%,8.69029E+13,乙类,维生素B1片,山西汾河制药有限公司（国药准字H14022398）
西药,片剂,0.25g,5.0%、10.0%、0.0%,8.69007E+13,乙类,氟他胺片,上海复旦复华药业有限公司（国药准字H10950220）
西药,片剂,600mg,10.0%、20.0%、0.0%,8.69787E+13,乙类,利奈唑胺片,Pfizer Pharmaceuticals LLC（H20130609）
西药,薄膜衣片,25mg,100.0%、100.0%、100.0%,8.69022E+13,丙类,茴三硫片,四川禾邦阳光制药股份有限公司
中成药,丸剂,每瓶装36g,0.0%、0.0%、0.0%,8.69036E+13,甲类,藿胆丸,哈尔滨华瑞生化药业有限责任公司（国药准字Z23021237）
中成药,浓缩丸,每丸重60mg,5.0%、10.0%、0.0%,86900491000421-2,乙类,心宝丸,广东太安堂药业股份有限公司（国药准字Z44022728）
西药,注射剂,200ml:0.4g,5.0%、10.0%、0.0%,8.69004E+13,乙类,乳酸环丙沙星氯化钠注射液,广州南新制药有限公司（国药准字H20023050）
西药,注射剂,1ml:5mg,5.0%、10.0%、0.0%,86900808000731-1,乙类,氢溴酸加兰他敏注射液,上海旭东海普药业有限公司
西药,片剂,1mg,0.0%、0.0%,8.69032E+13,甲类,艾司唑仑片,新乡市常乐制药有限责任公司
西药,注射剂,250mg/瓶,20.0%、30.0%,ZC02AAZ0407010100869,乙类,注射用黄芪多糖,天津赛诺制药有限公司
西药,片剂,0.25g,5.0%、10.0%、0.0%,8.69046E+13,乙类,奥硝唑片,浙江爱生药业有限公司（国药准字H20051077）
中草药,,,0.0%、0.0%,31200396,甲类,红豆蔻,
中成药,贴膏剂,6.5cm？á4cm,0.0%、0.0%、0.0%,86901752000013-1,甲类,云南白药膏,云南白药集团无锡药业有限公司（国药准字Z20073015）
西药,注射剂,0.3g（以比阿培南计 ）,5.0%、10.0%、0.0%,8.69041E+13,乙类,注射用比阿培南,山东罗欣药业集团股份有限公司（国药准字H20140120）
西药,片剂,"每片含维生素B1 3mg,维生素B6 0.2mg,维生素B2 1.5mg,烟酰胺10mg,右旋泛酸钙1mg",5.0%、10.0%、0.0%,8.6903E+13,乙类,复合维生素B片,山西振东安特生物制药有限公司（国药准字H14020237）
中草药,,,0.0%、0.0%,31200607,甲类,鸦胆子,
中成药,丸剂,8克*8袋,0.0%、0.0%、0.0%,86900412000172-2,甲类,华佗再造丸,广州白云山奇星药业有限公司
西药,注射剂,5ml:0.25g,100.0%、100.0%,86978241001349-1,丙类,(新)氟维司群注射液,Vetter Pharma-Fertigung GmbH & Co. KG（H20171199）
西药,软胶囊,0.5ug,5.0%、10.0%、0.0%,8.69016E+13,乙类,阿法骨化醇软胶囊,南通华山药业有限公司
西药,注射剂,50ml：100mg,5.0%、10.0%、0.0%,8.69787E+13,乙类,氟康唑氯化钠注射液,PFIZER HOLDING FRANCE（H20140389）
中成药,胶囊剂,每粒装0.4g,100.0%、100.0%、100.0%,8.69031E+13,丙类,晕痛定胶囊,河南龙都药业有限公司（国药准字Z10950093）
中成药,水丸,每10丸重2g,5.0%、10.0%、0.0%,8.69039E+13,乙类,暖宫七味丸,内蒙古库伦蒙药有限公司（国药准字Z20063369）
西药,注射剂,250ml:25g,0.0%、0.0%、0.0%,8.69041E+13,甲类,葡萄糖注射液,辰欣药业股份有限公司（国药准字H37021757）
西药,注射液,2ml:50mg,0.0%、0.0%、0.0%,86900673000140-1,甲类,盐酸异丙嗪注射液,上海禾丰制药有限公司
中成药,注射液,每支装10ml,5.0%、10.0%、0.0%,8.69033E+13,乙类,康艾注射液,长白山制药股份有限公司（国药准字Z20026868）
西药,栓剂,0.5mg,5.0%、10.0%、0.0%,8.69012E+13,乙类,卡前列甲酯栓,东北制药集团沈阳第一制药有限公司（国药准字H10800007）
西药,片剂,5mg,5.0%、10.0%、100.0%,8.69794E+13,乙类,琥珀酸索利那新片,Astellas Pharma Europe B.V
西药,粉剂,50mg/支,0.0%、0.0%、0.0%,8.69029E+13,甲类,注射用甲氨蝶呤,山西普德药业有限公司
中成药,丸剂,每8丸相当于原生药3g,0.0%、0.0%、0.0%,8.69015E+13,甲类,附子理中丸(浓缩丸）,江苏康缘药业股份有限公司（国药准字Z32021134）
西药,注射剂,10mg,100.0%、100.0%、100.0%,8.69058E+13,丙类,注射用长春西汀,海南斯达制药有限公司（国药准字H20040117）
中成药,水蜜丸,----,0.0%、0.0%、0.0%,8.69045E+13,甲类,柏子养心丸,芜湖张恒春药业有限公司
西药,片剂,5mg,5.0%、10.0%、0.0%,8.69056E+13,乙类,利塞膦酸钠片,昆明积大制药股份有限公司（国药准字H20080119）
西药,胶囊剂,0.5g,0.0%、0.0%,8.69047E+13,甲类,盐酸环丙沙星胶囊,浙江京新药业股份有限公司
西药,注射液,2ml:40mg/10支,5.0%、10.0%、0.0%,8.69001E+13,乙类,盐酸川芎嗪注射液,北京市永康药业有限公司
西药,片剂,40mg,5.0%、10.0%、0.0%,8.69049E+13,乙类,替米沙坦片,湖南迪诺制药有限公司(国药准字H20052597)
西药,注射剂,1ml:5mg,0.0%、0.0%、0.0%,8.69032E+13,甲类,地塞米松磷酸钠注射液,国药集团容生制药有限公司（国药准字H41020036）
西药,喷雾剂,5ml：1.25mg,5.0%、10.0%、0.0%,8.69005E+13,乙类,盐酸羟甲唑啉喷雾剂,深圳大佛药业股份有限公司（国药准字H20031192）
西药,胶囊剂,每粒胶囊含药粉0.2g。每克药粉含活酪酸梭菌≥5×107CFU。每粒胶囊内药粉含活酪酸梭菌≥1×107CFU。,5.0%、10.0%、0.0%,8.69011E+13,乙类,酪酸梭菌活菌胶囊,重庆泰平药业有限公司（国药准字S20040054）
西药,搽剂,30ml:1.50mg,5.0%、10.0%、0.0%,8.69791E+13,乙类,卡泊三醇搽剂,LEO Pharmaceutical Products Ltd. A/S (LEO Pharma A/S)（H20100717）
西药,注射液,250ml:50g,0.0%、0.0%、0.0%,8.69041E+13,甲类,5%葡萄糖注射液,华鲁
西药,注射剂,1ml:20mg,0.0%、0.0%、0.0%,8.69047E+13,甲类,黄体酮注射液,浙江仙琚制药股份有限公司（国药准字H33020828）
西药,小蜜丸,复方,0.0%、0.0%、0.0%,8.6905E+13,甲类,补中益气丸,九芝堂股份有限公司
中成药,软膏剂,每支装10g,100.0%、100.0%、100.0%,8.69044E+13,丙类,丹皮酚软膏,合肥立方制药股份有限公司（国药准字Z34020837）
西药,片剂,10mg,5.0%、10.0%,8.69023E+13,乙类,维生素B1片,四川依科制药有限公司
西药,注射剂,1g,5.0%、10.0%、0.0%,86904069000592-1,乙类,注射用门冬氨酸钾镁,北大
中草药,,,0.0%、0.0%,31200173,甲类,大腹毛,
西药,片剂,每片含多肽类物质不低于40mg,100.0%、100.0%、0.0%,8.69044E+13,丙类,骨肽片,安徽宏业药业有限公司
西药,注射剂,5ml,100.0%、100.0%、100.0%,8.69033E+13,丙类,谷红注射液,通化谷红制药有限公司（国药准字H22026582）
西药,乳膏剂,每100克含角菜酸酯2.5克，二氧化钛2克，氧化锌2克，利多卡因2克,5.0%、10.0%、0.0%,8.69025E+13,乙类,复方角菜酸酯乳膏,西安杨森制药有限公司（国药准字H20093799）
西药,注射剂,1ml:1mg,0.0%、0.0%、0.0%,8.6902E+13,甲类,盐酸肾上腺素注射液,远大医药(中国)有限公司（国药准字H42021700）
西药,片剂,5mg,10.0%、20.0%、0.0%,8.69006E+13,乙类,地氯雷他定片,深圳信立泰药业股份有限公司（国药准字H20020092）
西药,注射剂,500ml:50g,0.0%、0.0%、0.0%,8.69042E+13,甲类,葡萄糖注射液,山东威高药业股份有限公司（国药准字H20043704）
西药,糖衣片,0.1g,0.0%、0.0%、0.0%,8.69012E+13,甲类,盐酸小檗碱片,东北制药集团沈阳第一制药有限公司（国药准字H21022453）
西药,注射剂,10ml:L-门冬氨酸850mg、钾114mg、镁42mg,5.0%、10.0%、0.0%,8.69021E+13,乙类,门冬氨酸钾镁注射液,成都天台山制药有限公司
中成药,颗粒剂,4g/4袋,5.0%、10.0%、0.0%,8.69024E+13,乙类,小儿咽扁颗粒,陕西盘龙药业集团股份有限公司
医院制剂,,,10.0%、5.0%,c1300035,,呋喃西林溶液,
医院制剂,,,5.0%、5.0%,31300060,,硫酸锌合剂,
中成药,片剂,素片每片重0.25g,5.0%、10.0%、0.0%,8.69059E+13,乙类,参芪五味子片,康县独一味生物制药有限公司（国药准字Z62020288）
医院制剂,,,10.0%、5.0%,c1300001,,消渴灵1号,
西药,胶囊剂,0.2g(按C18H20FN3O4计),0.0%、0.0%、0.0%,8.69032E+13,甲类,盐酸左氧氟沙星胶囊,河南蓝图制药有限公司
西药,注射剂,10ml,5.0%、10.0%、0.0%,8.69041E+13,乙类,门冬氨酸钾镁注射液,辰欣药业股份有限公司（国药准字H20023836）
西药,片剂,40mg（多肽）,100.0%、100.0%、100.0%,86903740000234-1,丙类,复方牛胎肝提取物片,黑龙江江世药业有限公司（国药准字H23023289）
中草药,,,0.0%、0.0%,31200283,甲类,龙胆,
西药,注射剂,2ml:6单位,0.0%、0.0%、0.0%,8.69007E+13,甲类,垂体后叶注射液,上海上药第一生化药业有限公司（国药准字H31022259）
中草药,,,0.0%、0.0%,31200463,甲类,苦楝子,
西药,片剂,4mg,5.0%、10.0%、0.0%,8.69008E+13,乙类,马来酸罗格列酮片,葛兰素史克(天津)有限公司（国药准字H20020475）
中成药,颗粒剂,每袋装3g(每袋相当于原药材10g),5.0%、10.0%、0.0%,8.69056E+13,乙类,舒肝颗粒,昆明中药厂有限公司（国药准字Z53021161）
中成药,水丸,每袋装9g,0.0%、0.0%、0.0%,8.69027E+13,甲类,香砂养胃丸,河北万岁药业有限公司（国药准字Z13020127）
西药,干混悬剂,228.5mg（C16H19N3O5S 200mg与C8H9NO5 28.5mg）,0.0%、0.0%、0.0%,8.69006E+13,甲类,阿莫西林克拉维酸钾干混悬剂,珠海联邦制药股份有限公司中山分公司（国药准字H20010773）
西药,片剂,50μg,0.0%、0.0%、0.0%,86978278000179-1,甲类,左甲状腺素钠片,Berlin-Chemie AG（H20160235）
西药,胶囊,0.25g,5.0%、10.0%、0.0%,8.69097E+13,乙类,阿托伐他汀钙片,山德士
中成药,栓剂,每粒重2.2g,100.0%、100.0%、100.0%,8.69038E+13,丙类,前列闭尔通栓,黑龙江省济仁药业有限公司（国药准字Z20020130）
西药,注射剂,500ml:葡萄糖25g与氯化钠4.5g,0.0%、0.0%、0.0%,8.69022E+13,甲类,葡萄糖氯化钠注射液,四川科伦药业股份有限公司（国药准字H51020631）
西药,注射剂,0.5g,5.0%、10.0%、0.0%,8.69064E+13,乙类,人纤维蛋白原,山东泰邦生物制品有限公司(国药准字S20170007)
西药,片剂,10mg（按C20H21FN2O计）,0.0%、0.0%、0.0%,8.69023E+13,甲类,草酸艾司西酞普兰片,四川科伦药业股份有限公司（国药准字H20080788）
西药,注射剂,0.5g,5.0%、10.0%、0.0%,8.69008E+13,乙类,注射用丁二磺酸腺苷蛋氨酸,HOSPIRA S.P.A.（国药准字J20150070）
中草药,,,100.0%、100.0%,c1200118,,鲜白茅根,
西药,肠溶片,0.25g,5.0%、10.0%、0.0%,86903789000448-1,乙类,美沙拉秦肠溶片[0.25g*12片*3板],黑龙江天宏药业股份有限公司
中成药,软胶囊,每粒装0.31g,0.0%、0.0%、0.0%,8.69009E+13,甲类,冠心苏合软胶囊,天津市中央药业有限公司
中成药,糖衣片,基片重0.3g,5.0%、10.0%、0.0%,8.69009E+13,乙类,脉管复康片,天津同仁堂集团股份有限公司（国药准字Z12020023）
西药,注射剂,10万单位,5.0%、10.0%、0.0%,8.69003E+13,乙类,注射用乌司他丁,广东天普生化医药股份有限公司（国药准字H19990134）
中成药,大蜜丸,每丸重9g,5.0%、10.0%、0.0%,8.69002E+13,乙类,消栓再造丸,北京同仁堂股份有限公司同仁堂制药厂
中成药,胶囊剂,每粒装0.4g,5.0%、10.0%、0.0%,86902547000010-1,乙类,脑心通胶囊,陕西步长制药有限公司（国药准字Z20025001）
中成药,胶囊剂,每粒装0.4g,0.0%、0.0%、0.0%,8.69003E+13,甲类,双黄连胶囊,广东省惠州市中药厂有限公司（国药准字Z10970109）
西药,糖浆剂,"1ml:氢溴酸右美沙芬0.9mg,马来酸氯苯那敏0.4mg与氯化铵6mg",100.0%、100.0%、100.0%,8.69791E+13,丙类,美芬那敏铵糖浆,乐信药业有限公司（HC20150001）
西药,片剂,0.6mg,20.0%、30.0%,XB01ACS270A001020178189,乙类,司来帕格片,Actelion Pharmaceuticals Ltd
西药,颗粒剂,"对乙酰氨基酚0.125克,马来酸氯苯那敏0.5毫克,人工牛黄5毫克",5.0%、10.0%、0.0%,8.69026E+13,乙类,小儿氨酚黄那敏颗粒,山东百维药业有限责任公司
西药,滴眼液,5ml:5mg,100.0%、100.0%、100.0%,8.6904E+13,丙类,右旋糖酐70滴眼液,齐鲁制药有限公司（国药准字H20020474）
西药,注射剂,5g(以无水物计),5.0%、10.0%、0.0%,8.69006E+13,乙类,注射用果糖二磷酸钠,珠海同源药业有限公司（国药准字H10950343）
西药,软膏剂,10g/支,0.0%、0.0%、0.0%,8.69031E+13,甲类,红霉素软膏,遂成药业股份有限公司
西药,注射剂,"2ml:80mg曲克芦丁,1.0mg总氮,0.6mg单唾液酸四己糖神经节苷脂（GM1）",100.0%、100.0%、100.0%,8.69033E+13,丙类,复方曲肽注射液,吉林步长制药有限公司（国药准字H22026579）
西药,颗粒剂,按C16H17N3O4S计算0.125g,0.0%、0.0%、0.0%,8.69044E+13,甲类,头孢氨苄,上海海虹实业(集团)巢湖今辰药业有限公司
中成药,酊,每支装10ml,0.0%、0.0%、0.0%,8.69003E+13,甲类,藿香正气水,广东一力罗定制药有限公司（国药准字Z44020690）
西药,注射剂,1ml:50IU,5.0%、10.0%、0.0%,8.69805E+13,乙类,鲑降钙素注射液,Novartis Pharma Stein AG（H20170203）
中成药,颗粒剂,每袋装3g(无蔗糖),5.0%、10.0%、0.0%,8.69019E+13,乙类,龙牡壮骨颗粒,健民药业集团股份有限公司（国药准字Z42021662）
西药,注射液,2ml:2mg(以C9H23NO7P2计),5.0%、10.0%,8.6904E+13,乙类,伊班膦酸钠注射液,齐鲁制药有限公司
西药,片剂,10mg,5.0%、10.0%,86901606000404-1,乙类,瑞舒伐他汀钙片,南京正大天晴制药有限公司
中成药,片剂,每片含总黄酮醇苷19.2mg、萜类内酯4.8mg,5.0%、10.0%、0.0%,8.69016E+13,乙类,银杏叶片,南京易亨
西药,片剂,50mg,5.0%、10.0%、0.0%,8.69007E+13,乙类,比卡鲁胺片,上海朝晖药业有限公司（国药准字H20064085）
西药,无菌针剂,1.5g（按C16H16N4O8S计算）,0.0%、0.0%、0.0%,8.69042E+13,甲类,注射用头孢呋辛钠,瑞阳制药有限公司（国药准字H20063573）
中成药,滴丸,"每支装0.5g,每40丸重1g",5.0%、10.0%、0.0%,8.69009E+13,乙类,芪参益气滴丸,天士力医药集团股份有限公司（国药准字Z20030139）
中草药,,,0.0%、0.0%,31200157,甲类,土木香,
西药,注射剂,150μg,5.0%、10.0%、0.0%,8.69791E+13,乙类,重组人粒细胞刺激因子注射液,协和发酵麒麟株式会社高崎工厂（国药准字J20140036）
西药,注射剂,100ml,5.0%、10.0%,8.69022E+13,乙类,脂肪乳氨基酸葡萄糖注射液,四川科伦药业股份有限公司
西药,胶囊剂,"甲硝唑0.2g,人工牛黄5mg",100.0%、100.0%、100.0%,8.69026E+13,丙类,人工牛黄甲硝唑胶囊,山东百维药业有限公司（国药准字H13023519）
西药,注射剂,500ml:4.5g,0.0%、0.0%、0.0%,86904110000243-1,甲类,氯化钠注射液,贝朗医疗（山东）有限公司
西药,片剂,0.25g,5.0%、10.0%、0.0%,8.69008E+13,乙类,氨甲环酸片[0.25g*30片],上海信谊万象药业股份有限公司
西药,注射剂,3ml:300单位(畅充),0.0%、5.0%、10.0%,8.69071E+13,乙类,德谷胰岛素注射液,Novo Nordisk A/S
西药,片剂,20mg,0.0%、0.0%、0.0%,8.69005E+13,甲类,单硝酸异山梨酯片,丽珠集团丽珠制药厂
西药,冻干粉针剂,0.1g,5.0%、10.0%、0.0%,8.69041E+13,乙类,注射用硫普罗宁,山东罗欣药业集团股份有限公司（国药准字H20066258）
西药,注射剂,40mg（C17H19N3O3S计）,5.0%、10.0%、0.0%,8.69002E+13,乙类,注射用奥美拉唑钠,悦康药业集团有限公司（国药准字H20063740）
西药,颗粒剂,每袋含愈创甘油醚50mg，消旋盐酸甲麻黄碱10mg，马来酸氯苯那敏1mg,100.0%、100.0%、100.0%,8.69058E+13,丙类,愈酚甲麻那敏颗粒,海南凯健制药有限公司（国药准字H20090097）
西药,片剂,5mg,5.0%、10.0%、0.0%,8.69008E+13,乙类,尼尔雌醇片,上海新华联制药有限公司（国药准字H31021646）
中成药,胶剂,每块重62.5g,100.0%、100.0%、100.0%,8.69041E+13,丙类,福字阿胶,山东福胶集团东阿镇阿胶有限公司（国药准字Z37021271）
中成药,颗粒剂,每袋装3g,5.0%、10.0%、0.0%,8.69042E+13,乙类,枇杷止咳颗粒,山东岳草堂
中成药,气雾剂,"云南白药气雾剂每瓶装85g,含药液65g;云南白药气雾剂保险液每瓶装60g,含药液28g",0.0%、0.0%、0.0%,8.69056E+13,甲类,云南白药气雾剂,云南白药集团股份有限公司（国药准字Z53021104）
西药,滴眼剂,5ml:妥布霉素15mg;地塞米松5mg,5.0%、10.0%、0.0%,8.6904E+13,乙类,妥布霉素地塞米松滴眼液,齐鲁制药有限公司（国药准字H20020497）
西药,注射剂,1ml:5mg,0.0%、0.0%、0.0%,8.6904E+13,甲类,地塞米松磷酸钠注射液,华润双鹤利民药业(济南)有限公司（国药准字H37021224）
西药,片剂,50mg,20.0%、30.0%,XN05AHK094A010030179578,乙类,富马酸喹硫平缓释片,AstraZeneca Pharmaceuticals LP
西药,注射剂,0.3g,0.0%、0.0%、0.0%,8.69058E+13,甲类,克林霉素磷酸酯,海南葫芦娃药业集团股份有限公司
中成药,胶囊剂,每粒装0.25克,5.0%、10.0%、0.0%,86901492000113-2,乙类,蒲参胶囊,江苏苏中药业集团股份有限公司（国药准字Z20040074）
中成药,片剂,每片重0.415g,5.0%、10.0%、0.0%,8.69041E+13,乙类,天丹通络片,山东凤凰制药股份有限公司（国药准字Z20090152）
西药,注射剂,500ml,20.0%、30.0%、0.0%,8.69E+13,乙类,羟乙基淀粉130/0.4电解质注射液,北京费森尤斯卡比医药有限公司（国药准字H20130006）
中成药,水丸,6g,0.0%、0.0%、0.0%,8.69034E+13,甲类,丹栀逍遥丸,吉林省天泰药业股份有限公司
西药,注射用粉针剂,按C16H16N4O8S计0.75g,0.0%、0.0%、0.0%,8.69002E+13,甲类,注射用头孢呋辛钠,悦康药业集团有限公司
西药,片剂,60mg,100.0%、100.0%、100.0%,8.69014E+13,丙类,盐酸非索非那定片,江苏恒瑞医药股份有限公司（国药准字H20040901）
西药,注射用粉针剂,2g（200万单位）（按C14H24N2O7计）,5.0%、10.0%、0.0%,8.69041E+13,乙类,注射用盐酸大观霉素,山东鲁抗医药股份有限公司
