结算项目名称,剂型名称,规格,首先自负比例,医疗项目编码,目录等级,药品名称,生产厂家
中成药,片剂,40mg,5.0%、10.0%、0.0%,8.69796E+13,乙类,银杏叶提取物片,Dr.Willmar Schwabe GmbH & Co. KG（H20140768）
西药,胶囊剂,150mg,5.0%、10.0%、0.0%,8.69006E+13,乙类,达比加群酯胶囊,Boehringer Ingelheim Pharma GmbH & Co.KG（国药准字J20171036）
西药,片剂,芦丁20mg;维生素C50mg,100.0%、100.0%、100.0%,8.69007E+13,丙类,复方芦丁片,上海朝晖药业有限公司（国药准字H31021092）
西药,注射剂,440mg,20.0%、30.0%、0.0%,8.69007E+13,乙类,注射用曲妥珠单抗,罗氏（上海）制药有限公司（国药准字J20180073）
西药,注射剂,1.0g（按C18H23N9O4S3计算）,5.0%、10.0%、0.0%,8.69041E+13,乙类,注射用盐酸头孢替安,山东罗欣药业集团股份有限公司（国药准字H20113453）
西药,鼻喷剂,2ml：4400IU,5.0%、10.0%、0.0%,8.69787E+13,乙类,鲑鱼降钙素鼻喷剂,Delpharm Huningue S.A.S.（H20140632）
西药,注射剂,5ml:0.25g,5.0%、10.0%、0.0%,8.69058E+13,乙类,注射用氨苄西林钠舒巴坦钠,海南美好西林生物制药有限公司
西药,注射剂,10ml：50mg,5.0%、10.0%、0.0%,86903010000186-1,乙类,甘草酸二铵注射液,辅仁药业集团有限公司
西药,片剂,0.5g,0.0%、0.0%、0.0%,8.69039E+13,甲类,克霉唑阴道片,迪沙药业集团有限公司（国药准字H20074186）
西药,乳膏剂,14g,5.0%、10.0%、0.0%,8.69784E+13,乙类,多磺酸粘多糖乳膏,Medinova Ltd.（H20150011）
西药,注射剂,250ml:12.5g（总氨基酸）,100.0%、100.0%、100.0%,8.69003E+13,丙类,氨基酸注射液,广东利泰制药股份有限公司（国药准字H20068014）
西药,注射剂,100ml:0.5g吗啉硝唑与0.9g氯化钠,20.0%、30.0%,XJ01XDM152B002010101444,乙类,吗啉硝唑氯化钠注射液,江苏豪森药业集团有限公司
西药,片剂,30mg,5.0%、10.0%、0.0%,8.6902E+13,乙类,格列齐特缓释片,成都恒瑞
中成药,颗粒剂,每袋装15g,0.0%、0.0%、0.0%,8.69036E+13,甲类,贞芪扶正颗粒,通化金马药业集团股份有限公司
西药,片剂,5mg,0.0%、0.0%、0.0%,8.69014E+13,甲类,硝酸异山梨酯片,世贸天阶制药(江苏)有限责任公司
西药,片剂,25mg（以C16H16ClN02S计）,0.0%、10.0%、20.0%,86900553000581-1,乙类,硫酸氢氯吡格雷片,深圳信立泰药业股份有限公司（国药准字H20000542）
中草药,,,0.0%、0.0%,31200786,甲类,续断片,
西药,注射液,10ml:17.5mg（多肽）:2.5mg（次黄嘌呤）,100.0%、100.0%、0.0%,8.69033E+13,丙类,肌氨肽苷注射液,白求恩医科大学制药厂
中成药,薄膜衣片,"每片含总黄酮醇苷9.6mg,萜类内酯2.4mg",5.0%、10.0%、0.0%,8.69005E+13,乙类,银杏叶片,深圳海王药业有限公司（国药准字Z20027956）
中成药,口服溶液剂,每支装10毫升,100.0%、100.0%、100.0%,8.69016E+13,丙类,羚羊感冒口服液,南京同仁堂药业有限责任公司（国药准字Z19991003）
西药,注射剂,100ml:0.9g,0.0%、0.0%、0.0%,8.69041E+13,甲类,氯化钠注射液,华仁药业(日照)有限公司（国药准字H20023446）
西药,胶囊剂,0.15g（C13H22N4O3S）,0.0%、0.0%、0.0%,8.69043E+13,甲类,盐酸雷尼替丁胶囊,山西云鹏制药有限公司（国药准字H34021265）
西药,片剂,0.1g,5.0%、10.0%、0.0%,8.69058E+13,乙类,伊曲康唑分散片,康芝药业股份有限公司（国药准字H20080494）
西药,注射剂,1.5ml:0.375g,0.0%、0.0%、0.0%,8.69032E+13,甲类,尼可刹米注射液,国药集团容生制药有限公司（国药准字H20056004）
西药,注射剂,2ml:20mg,0.0%、0.0%、0.0%,8.69041E+13,甲类,呋塞米注射液,山东方明药业集团股份有限公司（国药准字H37021056）
